ANO,TITULO,SOLUÇÃO,PRESENTE
2023,"Pai pede por justiça após caso de bullying: ""Meu filho se foi, alguém tem de pagar por isso"" 9 jun 2023",S2,1
2023,"Menino que tinha o sonho de viajar tem suas cinzas espalhadas pelo mundo: ""Levá-lo nesta jornada final traz conforto e esperança"", diz mãe 11 jun 2023",S2,1
2023,"Promessa no esporte, menino de 13 anos deixa vídeo antes de tirar a própria vida: ""Sou perseguido todos os dias"" 03 abr 2023",S2,1
1995,"Grávidas na Adolescência Difícil Enfrentar essa Barra ano 2, nº 24, nov 1995, p 18-22",S3,1
2007,"Quando a brincadeira perde a graça, ano x, nº 161, abr 2007",S3,1
2009,"O que será que ele tem? Ano x, nº 190, set 2009, p 72-75",S3,1
2013,Novo livro ajuda pais a identificarem transtornos de comportamento nos filhos,S3,1
2016,Precisamos falar sobre suicídio de crianças e adolescentes 26 set 2016,S3,1
2016,"Menina de 11 anos que sobreviveu a câncer no cérebro se mata por sofrer bullying na escola, 2 nov 2016",S3,1
2018,Mãe encontra o filho morto no quintal de casa,S3,1
2019,Menino de 7 anos escreve nota de suicídio e deixa na mesa da professora depois de sofrer bullying (14 Fev 2019),S3,1
2020,Família desabafa depois que mãe de 18 anos comete suicídio por causa de depressão pós-parto 17 Set 2020,S3,1
2020,"EUA: Menino de 11 anos morre após ter atirado em si mesmo durante aula online, dizem investigadores (4 dez 2020)",S3,1
2021,"Suicídio entre crianças e adolescentes: ""Elas sempre dão sinais de que algo não vai bem"", alertam especialistas  (26 mai 2021)",S3,1
2021,Setembro Amarelo: conheça os principais sinais de alerta de suicídio entre crianças (21 set 2021),S3,1
2021,"Após bullying na escola, menina autista comete suicídio: ""Ninguém deveria enterrar um filho"", desabafa mãe 2 dez 2021",S3,1
2021,"Automutilação infantil: sinais podem aparecer anos antes, mostra estudo 16 jun 2021",S3,1
2021,"""De 30 a 40% das crianças em idade escolar vão sofrer bullying, mas a maioria não vai cometer crimes"", dizem especialistas 6 mai 2021",S3,1
2022,“Ele tinha 12 anos”: menino tira a própria vida por não aguentar mais sofrer bullying e mãe escreve texto de partir o coração 24 fev 2022,S3,1
2022,Adolescente encontrada sem vida em escola esta semana reacende o alerta para a saúde mental dos jovens 17 jun 2022,S3,1
2022,Projeto de lei pretende criar política nacional de combate ao suicídio entre crianças e adolescentes 19 jul 2022/Aumenta o número de crianças e adolescentes com pensamentos suicidas 14 nov 2022,S3,1
2022,Pediatras recomendam que adolescentes acima de 12 anos passem por avaliações para rastrear risco de suicídio 24 jun 2022,S3,1
2022,Menina de 8 anos tenta tirar a própria vida na Colômbia 2 dez 2022,S3,1
2022,"Número de jovens que sofrem com problemas de saúde mental dobra em 15 anos, diz estudo 23 nov 2022",S3,1
2022,Painel de Saúde norte-americano recomenda a realização de uma triagem de quadros de ansiedade em crianças a partir dos 8 anos 12 out 2022,S3,1
2022,"Distúrbios alimentares entre meninas adolescentes aumentaram durante a pandemia, aponta estudo do CDC 03 mar 2022",S3,1
2022,"Lista de espera para crianças que precisam de ajuda com transtornos alimentares bate recorde, na Inglaterra 11 fev 2022",S3,1
2022,79% das vítimas de estupro no Disque 100 são crianças e adolescentes 06 jun 2022,S3,1
2022,"Número de visitas de crianças a hospitais por problemas de saúde mental está aumentando rapidamente, diz estudo 28 dez 2022",S3,1
2022,"""Nosso mundo acabou ali"", lamenta mãe de menina de 13 anos do RJ, que tirou a própria vida há um ano 8 jul 2022",S3,1
2023,"Menina de 11 anos comete suicídio em escola nos EUA e mãe desabafa: ""Nunca pensei que aquele dia acabaria daquele jeito"" 08 abr 2023",S3,1
2023,Família pede por justiça após adolescente trans ser vítima de bullying na escola e tirar a própria vida 25 jul 2023,S3,1
2023,"""Converse sobre bullying com o seu filho"", aconselha mãe de menina alvo de violência 15 ago 2023",S3,1
2023,Bullying: pais processam distrito escolar após filha de 12 anos tirar a própria vida e chegam a acordo de R$ 43 milhões 29 jul 2023,S3,1
2023,"Pai pede por justiça após caso de bullying: ""Meu filho se foi, alguém tem de pagar por isso"" 9 jun 2023",S3,1
2023,"Menino que tinha o sonho de viajar tem suas cinzas espalhadas pelo mundo: ""Levá-lo nesta jornada final traz conforto e esperança"", diz mãe 11 jun 2023",S3,1
2023,"Promessa no esporte, menino de 13 anos deixa vídeo antes de tirar a própria vida: ""Sou perseguido todos os dias"" 03 abr 2023",S3,1
1994,"O que você ainda não sabe sobre violência contra a criança ano 1, nº 4, ago 1994, pág 78-80",S4,1
2013,Novo livro ajuda pais a identificarem transtornos de comportamento nos filhos,S4,1
2016,Precisamos falar sobre suicídio de crianças e adolescentes 26 set 2016,S4,1
2016,"O Menino que Ela sempre Quis Ser (impresso)/Menino no corpo de menina: mãe fala sobre filho transgênero (digital), 1 ago 2016",S4,1
2018,Mãe precisa monitorar filha de 10 anos por risco de suicídio depois de cyberbullying,S4,1
2017,"Taxa de mortalidade infantil indígena diminui 4,7% em 2017",S4,1
2019,"Menina de 11 anos, grávida por estupro, passa por cesárea, em vez de aborto, na Argentina (28 fev 2019)",S4,1
2020,‘Homem Pateta’: Polícia faz alerta a pais sobre perfil que pode induzir suicídio (24 jun 2020),S4,1
2021,Setembro Amarelo: conheça os principais sinais de alerta de suicídio entre crianças (21 set 2021),S4,1
2021,"Aos 7, menina emagrece 8 kg em seis meses por causa de bullying: ""Minha garotinha quer tirar a própria vida"", diz mãe 11 mar 2021",S4,1
2021,"Após bullying na escola, menina autista comete suicídio: ""Ninguém deveria enterrar um filho"", desabafa mãe 2 dez 2021",S4,1
2021,"Na França, projeto de lei propõe multa e até detenção a alunos que praticam bullying nas escolas 02 Dez 2021",S4,1
2021,Mãe compartilha vídeos de bullying sofrido pela filha após menina tirar a própria vida 2 set 2021,S4,1
2021,"Problemas de saúde mental em meninas foram impulsionados pelo uso frequente da internet na pandemia, diz pesquisa 21 set 2021",S4,1
2021,"Associação Americana de Pediatria declara ""emergência de saúde mental"" para crianças e adolescentes 28 out 2021",S4,1
2021,"Pandemia pode impactar saúde mental de crianças e adolescentes por anos, analisa Unicef 13 out 2021",S4,1
2021,"Cerca de 40 mil crianças perderam ao menos um dos pais por covid-19 desde o início da pandemia nos EUA 7 abr 2021//Quase 40 mil crianças perderam um dos pais para a Covid nos EUA, aponta estudo 6 abr 2021",S4,1
2022,Projeto de lei pretende criar política nacional de combate ao suicídio entre crianças e adolescentes 19 jul 2022/Aumenta o número de crianças e adolescentes com pensamentos suicidas 14 nov 2022,S4,1
2022,Pediatras recomendam que adolescentes acima de 12 anos passem por avaliações para rastrear risco de suicídio 24 jun 2022,S4,1
2022,Menina de 8 anos tenta tirar a própria vida na Colômbia 2 dez 2022,S4,1
2022,"Número de jovens que sofrem com problemas de saúde mental dobra em 15 anos, diz estudo 23 nov 2022",S4,1
2022,"Estudantes protestam contra as novas políticas para transgêneros nas escolas, nos EUA 28 set 2022",S4,1
2022,Como proteger as crianças dos perigos na internet 6 set 2022,S4,1
2022,Bullying: pais se revoltam após filha ser empurrada de escada na escola e agressores sofrerem ‘punições mínimas’ 14 mar 2022,S4,1
2022,"Distúrbios alimentares entre meninas adolescentes aumentaram durante a pandemia, aponta estudo do CDC 03 mar 2022",S4,1
2022,"Lista de espera para crianças que precisam de ajuda com transtornos alimentares bate recorde, na Inglaterra 11 fev 2022",S4,1
2022,79% das vítimas de estupro no Disque 100 são crianças e adolescentes 06 jun 2022,S4,1
2022,"Número de visitas de crianças a hospitais por problemas de saúde mental está aumentando rapidamente, diz estudo 28 dez 2022",S4,1
2022,"Crianças trans têm três vezes mais chances de lidar com problemas de saúde mental, diz estudo 25 jul 2022",S4,1
2022,"""Nosso mundo acabou ali"", lamenta mãe de menina de 13 anos do RJ, que tirou a própria vida há um ano 8 jul 2022",S4,1
2023,"Menina de 11 anos comete suicídio em escola nos EUA e mãe desabafa: ""Nunca pensei que aquele dia acabaria daquele jeito"" 08 abr 2023",S4,1
2023,"""As redes sociais tiveram uma parcela de culpa na morte da minha filha"", desabafa mãe/22 maio 2023",S4,1
2023,"Promessa no esporte, menino de 13 anos deixa vídeo antes de tirar a própria vida: ""Sou perseguido todos os dias"" 03 abr 2023",S4,1
2013,Novo livro ajuda pais a identificarem transtornos de comportamento nos filhos,S5,1
2018,Mãe precisa monitorar filha de 10 anos por risco de suicídio depois de cyberbullying,S5,1
2019,Escola irlandesa divulga novo alerta ao detectar imagens de Momo em meio a vídeos infantis (27 fev 2019),S5,1
2019,Criador de ‘Momo’ diz que crianças não precisam mais ter medo porque destruiu a escultura  (4 mar 2019),S5,1
2020,Mãe com alopécia exibe careca para incentivar filha com mesma condição (20 Jul 2020),S5,1
2020,Especialista alerta sobre vídeo violento circulando 'camuflado' no Tik Tok 08 Set 2020,S5,1
2021,"Automutilação infantil: sinais podem aparecer anos antes, mostra estudo 16 jun 2021",S5,1
2021,"Problemas de saúde mental em meninas foram impulsionados pelo uso frequente da internet na pandemia, diz pesquisa 21 set 2021",S5,1
2021,"Menina de 10 anos morre em desafio da rede social, na Itália: ""Não sabíamos de nada"", disse o pai 22 jan 2021",S5,1
2022,Adolescente encontrada sem vida em escola esta semana reacende o alerta para a saúde mental dos jovens 17 jun 2022,S5,1
2022,"“As redes sociais ajudaram a matar a minha filha’, diz pai de menina de 14 anos que tirou a própria vida 22 set 2022",S5,1
2022,"Distúrbios alimentares entre meninas adolescentes aumentaram durante a pandemia, aponta estudo do CDC 03 mar 2022",S5,1
